species,found,URL,count
Pantoporia malaya,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+malaya%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma eulimene,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+eulimene%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma badoura,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+badoura%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia hegelochus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+hegelochus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacola rubidus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacola+rubidus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia symphelus,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+symphelus%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Athyma jocaste,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Athyma+jocaste%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Nymphalis eulimene,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Nymphalis+eulimene%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Pantoporia eulimene,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Pantoporia+eulimene%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
Tacola eulimene,False,https://www.ebay.com/sch/i.html?_sacat=0&_udlo&_udhi&_ftrt=901&_ftrv=1&_sabdlo&_sabdhi&_samilow&_samihi&_sop=12&_dmd=1&_ipg=200&_fosrp=1&_nkw=%22Tacola+eulimene%22&rt=nc&LH_PrefLoc=2&_trksid=p2045573.m1684,0
